Periodo,Estado,Clave SIINAH,Tipo de sitio,Centro de trabajo,Tipo de visitantes,Nacionalidad,NÃºmero de visitas
01/05/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,61
01/05/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,7035
01/05/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,6829
01/05/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,20413
01/05/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,13
01/05/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1796
01/05/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,453
01/06/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,20043
01/06/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,47705
01/06/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3979
01/06/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,46902
01/06/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,447
01/06/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,16835
01/06/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,32
01/06/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,5393
01/06/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,98
01/06/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,11580
01/06/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,130
01/06/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,7050
01/06/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,6405
01/06/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,21683
01/06/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,3
01/06/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1702
01/06/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,441
01/07/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,25531
01/07/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,46106
01/07/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,8379
01/07/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,110373
01/07/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,621
01/07/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,27755
01/07/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,149
01/07/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,2429
01/07/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,313
01/07/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,6987
01/07/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,234
01/07/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,13252
01/07/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,9123
01/07/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,22883
01/07/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,6
01/07/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,540
01/07/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,501
01/08/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,28432
01/08/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,50171
01/08/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,9364
01/08/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,71303
01/08/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,589
01/08/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,30270
01/08/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,67
01/08/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,2364
01/08/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,122
01/08/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,3219
01/08/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,216
01/08/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,9773
01/08/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,10118
01/08/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,29645
01/08/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,14
01/08/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,588
01/08/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,470
01/09/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,25590
01/09/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,147346
01/09/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,4782
01/09/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,76876
01/09/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,566
01/09/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,25825
01/09/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,69
01/09/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,4880
01/09/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,261
01/09/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,10040
01/09/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,169
01/09/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,8267
01/09/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,9913
01/09/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,38576
01/09/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,2
01/09/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,615
01/09/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,252
01/10/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,47220
01/10/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,192946
01/10/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3972
01/10/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,67899
01/10/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,751
01/10/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,39249
01/10/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,57
01/10/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,8194
01/10/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,138
01/10/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,12572
01/10/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,263
01/10/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,12345
01/10/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,11017
01/10/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,49899
01/10/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,2
01/10/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1374
01/10/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,559
01/11/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,39740
01/11/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,115102
01/11/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,4243
01/11/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,73570
01/11/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,1038
01/11/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,35746
01/11/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,37
01/11/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,9882
01/11/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,226
01/11/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,15601
01/11/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,180
01/11/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,13942
01/11/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,8982
01/11/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,43137
01/11/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1542
01/11/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,950
01/12/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,25555
01/12/1999,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,85172
01/12/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3867
01/12/1999,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,72928
01/12/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,373
01/12/1999,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,24110
01/12/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,92
01/12/1999,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,5200
01/12/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,64
01/12/1999,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,11953
01/12/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,180
01/12/1999,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,6412
01/12/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,7523
01/12/1999,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27090
01/12/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,6
01/12/1999,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1122
01/12/1999,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,421
01/01/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,29576
01/01/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,64335
01/01/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,6092
01/01/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Nacional,50559
01/01/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,917
01/01/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,26613
01/01/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,118
01/01/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,10087
01/01/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,137
01/01/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,19011
01/01/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,273
01/01/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,8427
01/01/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,7228
01/01/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,30341
01/01/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,1767
01/01/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,511
01/02/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,29407
01/02/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,83612
01/02/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,3810
01/02/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Nacional,33940
01/02/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,503
01/02/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,21787
01/02/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,134
01/02/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,10674
01/02/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,116
01/02/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,16165
01/02/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,364
01/02/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,4016
01/02/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,9801
01/02/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,32083
01/02/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,1692
01/02/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,465
01/03/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,32006
01/03/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,97008
01/03/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,579
01/03/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Nacional,9707
01/03/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,446
01/03/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,22313
01/03/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,132
01/03/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,18272
01/03/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,259
01/03/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,43539
01/03/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,4904
01/03/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,12466
01/03/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,41013
01/03/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,5
01/03/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,3476
01/03/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,412
01/04/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,32037
01/04/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,90015
01/04/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,561
01/04/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,24752
01/04/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,90
01/04/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,12421
01/04/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,42498
01/04/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,269
01/04/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,6504
01/04/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,10008
01/04/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,39185
01/04/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,1274
01/04/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,318
01/05/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,20732
01/05/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,61192
01/05/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,401
01/05/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,16731
01/05/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,82
01/05/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,10340
01/05/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,4
01/05/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,20244
01/05/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,199
01/05/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,2172
01/05/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,6017
01/05/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,22645
01/05/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,2165
01/05/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,253
01/06/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,21834
01/06/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,54667
01/06/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,394
01/06/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,13487
01/06/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,108
01/06/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,5808
01/06/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,18014
01/06/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,302
01/06/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,4422
01/06/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,6301
01/06/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,26578
01/06/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,12
01/06/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,2186
01/06/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,364
01/07/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,28533
01/07/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,54038
01/07/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,413
01/07/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,17805
01/07/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,129
01/07/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,3702
01/07/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,247
01/07/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,22835
01/07/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,1045
01/07/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,11389
01/07/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,13020
01/07/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,26151
01/07/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,15
01/07/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,370
01/07/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,313
01/08/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,28214
01/08/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,45798
01/08/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,9487
01/08/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Nacional,81520
01/08/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,408
01/08/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,22029
01/08/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,61
01/08/2000,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Nacional,3046
01/08/2000,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Nacional,9396
01/08/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,489
01/08/2000,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Nacional,5518
01/08/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,8532
01/08/2000,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Nacional,23900
01/08/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,11
01/08/2000,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Nacional,820
01/08/2000,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Boleto pagado,Nacional,245
01/09/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,25518
01/09/2000,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Nacional,121314
01/09/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,8930
01/09/2000,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Nacional,80374
01/09/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,519
01/09/2000,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Nacional,28638
